Mode,M,N,K,Time_ms,TFLOPS,Precision
rtx4090_benchmark_fp16,12288,4096,2048,1.2050432205200197,171.07969797053022,fp16
rtx4090_benchmark_fp16,4096,1024,8192,0.4018640041351318,171.0018215836326,fp16
rtx4090_benchmark_fp16,4096,8192,4096,1.6078847885131835,170.9562208111817,fp16
rtx4090_benchmark_fp16,12288,4096,4096,2.412339210510253,170.91993473371744,fp16
rtx4090_torch_compile_benchmark,8192,12288,8192,9.6505859375,170.8981664269025,fp16
rtx4090_benchmark_fp16,12288,8192,2048,2.4133632659912108,170.84740877028895,fp16
rtx4090_benchmark_fp16,4096,12288,2048,1.2068863868713378,170.81842371462417,fp16
rtx4090_benchmark_fp16,16384,16384,1024,3.223551940917969,170.54349486654974,fp16
rtx4090_benchmark_fp16,12288,1024,2048,0.3024895906448364,170.3847310650582,fp16
rtx4090_aot_benchmark,1024,1024,16384,0.201662802696228,170.3821324935036,
rtx4090_benchmark_fp16,8192,1024,2048,0.2016767978668213,170.37030898660785,fp16
rtx4090_benchmark_fp16,8192,4096,2048,0.8069120407104491,170.32705739648063,fp16
rtx4090_benchmark_fp16,12288,2048,8192,2.423161506652832,170.15657408058726,fp16
rtx4090_benchmark_fp16,16384,2048,2048,0.8077823638916015,170.1435431319262,fp16
rtx4090_benchmark_fp16,16384,8192,4096,6.463897705078126,170.10040658784075,fp16
rtx4090_benchmark_fp16,16384,4096,8192,6.4641471862792965,170.09384162999987,fp16
rtx4090_benchmark_fp16,8192,16384,4096,6.464717102050781,170.07884651707428,fp16
rtx4090_benchmark_fp16,16384,4096,1024,0.8080896377563477,170.07884651707428,fp16
rtx4090_benchmark_fp16,12288,2048,4096,1.2122112274169925,170.06807522092265,fp16
rtx4090_benchmark_fp16,4096,8192,2048,0.808283233642578,170.03811009740102,fp16
rtx4090_benchmark_fp16,8192,8192,2048,1.6183231353759768,169.85353600604554,fp16
rtx4090_benchmark_fp16,4096,16384,1024,0.809267234802246,169.83135800077812,fp16
rtx4090_benchmark_fp16,16384,2048,4096,1.6185600280761718,169.82867621580968,fp16
rtx4090_benchmark_fp16,16384,1024,4096,0.8103424072265625,169.60602363436922,fp16
rtx4090_aot_benchmark,1024,1024,12288,0.1519871950149536,169.55246639997915,
rtx4090_benchmark_fp16,16384,16384,2048,6.485606384277344,169.53104499857997,fp16
rtx4090_benchmark_fp16,16384,12288,1024,2.435891151428222,169.26735834409047,fp16
rtx4090_benchmark_fp16,8192,8192,1024,0.8120847702026366,169.2421265796,fp16
rtx4090_benchmark_fp16,4096,4096,8192,1.6261119842529297,169.03996133469536,fp16
rtx4090_aot_benchmark,2048,512,12288,0.1524736046791076,169.01157305380508,
rtx4090_benchmark_fp16,4096,12288,1024,0.6105535984039305,168.8291009560225,fp16
rtx4090_benchmark_fp16,4096,16384,8192,6.5187843322753904,168.66820126755354,fp16
rtx4090_torch_compile_benchmark,12288,8192,4096,4.897177505493164,168.3895917407544,fp16
rtx4090_benchmark_fp16,8192,16384,1024,1.632460784912109,168.38254828816562,fp16
rtx4090_torch_compile_benchmark,12288,12288,2048,3.674521636962891,168.31450505083689,fp16
rtx4090_benchmark_fp16,8192,4096,12288,4.901478576660156,168.24182905924306,fp16
rtx4090_benchmark_fp16,8192,2048,8192,1.6338687896728517,168.23744273800506,fp16
rtx4090_benchmark_fp16,2048,12288,8192,2.451865577697754,168.16454546548027,fp16
